Theorist_Name
Beverly Guy-Sheftall
Ntozake Shange
Alexis Pauline Gumbs
Sojourner Truth
Alice Walker
Angela Davis
Johnetta B. Cole
Cheryl Wall
Faith Ringgold/Michele Wallace
Assata Shakur
Nell Irvin Painter
Patricia Hill Collins
Carole Boyce Davies
June Jordan
Toni Cade Bambara
Johnnetta B Cole
bell hooks
Audre Lorde
Barbara Smith
Michele Wallace/Faith Ringgold
